/home/simba/.virtualenvs/QIP/lib/python3.12/site-packages/cotengra/hyperoptimizers/hyper.py:36: UserWarning: Couldn't import `kahypar` - skipping from default hyper optimizer and using basic `labels` method instead. `kahypar` is highly recommended for the best quality contraction paths.
  warnings.warn(
  p=0.03   seed=1 X@3: L=10 maxS1=5.0004 (bond 4, S0=5.55, Sinf=3.83)
  p=0.03   seed=1 Z@3: L= 1 maxS1=1.3498 (bond 4, S0=1.39, Sinf=1.06)
  p=0.03   seed=1 Z@3: L= 2 maxS1=2.0833 (bond 4, S0=2.77, Sinf=1.31)
  p=0.03   seed=1 Z@3: L= 3 maxS1=3.1786 (bond 4, S0=4.16, Sinf=2.09)
  p=0.03   seed=1 Z@3: L= 4 maxS1=3.9206 (bond 4, S0=5.55, Sinf=2.39)
  p=0.03   seed=1 Z@3: L= 5 maxS1=4.5419 (bond 4, S0=5.55, Sinf=3.02)
  p=0.03   seed=1 Z@3: L= 6 maxS1=4.8106 (bond 4, S0=5.55, Sinf=3.40)
  p=0.03   seed=1 Z@3: L= 7 maxS1=4.9321 (bond 4, S0=5.55, Sinf=3.71)
  p=0.03   seed=1 Z@3: L= 8 maxS1=4.9701 (bond 4, S0=5.55, Sinf=3.75)
  p=0.03   seed=1 Z@3: L= 9 maxS1=4.9797 (bond 4, S0=5.55, Sinf=3.76)
  p=0.03   seed=1 Z@3: L=10 maxS1=5.0068 (bond 4, S0=5.55, Sinf=3.92)
  p=0.03   seed=1 X@1: L= 1 maxS1=1.2250 (bond 1, S0=1.39, Sinf=0.75)
  p=0.03   seed=1 X@1: L= 2 maxS1=2.0672 (bond 2, S0=2.77, Sinf=1.24)
  p=0.03   seed=1 X@1: L= 3 maxS1=2.2057 (bond 2, S0=2.77, Sinf=1.34)
  p=0.03   seed=1 X@1: L= 4 maxS1=2.8546 (bond 3, S0=4.16, Sinf=1.95)
  p=0.03   seed=1 X@1: L= 5 maxS1=3.7168 (bond 4, S0=5.55, Sinf=1.82)
  p=0.03   seed=1 X@1: L= 6 maxS1=4.2682 (bond 4, S0=5.55, Sinf=2.17)
  p=0.03   seed=1 X@1: L= 7 maxS1=4.5898 (bond 4, S0=5.55, Sinf=2.87)
  p=0.03   seed=1 X@1: L= 8 maxS1=4.7659 (bond 4, S0=5.55, Sinf=3.13)
  p=0.03   seed=1 X@1: L= 9 maxS1=4.8231 (bond 4, S0=5.55, Sinf=3.25)
  p=0.03   seed=1 X@1: L=10 maxS1=4.9187 (bond 4, S0=5.55, Sinf=3.48)
  p=0.05   seed=0 X@3: L= 1 maxS1=1.3063 (bond 2, S0=1.39, Sinf=0.87)
  p=0.05   seed=0 X@3: L= 2 maxS1=2.3147 (bond 2, S0=2.77, Sinf=1.66)
  p=0.05   seed=0 X@3: L= 3 maxS1=2.9566 (bond 4, S0=4.16, Sinf=1.36)
